"Latitud","Longitud","placas"
17.4502,-94.4187,"Norteamérica"
16.0497,-97.0608,"Cocos"
30.8017,-114.175,"Pacífico"
16.2807,-97.7082,"Cocos"
27.63,-111.63,"Pacífico"
19.4533,-102.3,"Rivera"
31.1938,-115.457,"Pacífico"
19.83,-109.18,"Pacífico"
18.6868,-99.2985,"Norteamérica"
31.103,-115.752,"Pacífico"
19.0797,-104.774,"Rivera"
16.2855,-98.1058,"Cocos"
16.8067,-99.5087,"Cocos"
30.3712,-109.6,"Norteamérica"
31.4335,-115.559,"Pacífico"
16.242,-97.7968,"Cocos"
16.8247,-99.7058,"Cocos"
30.3613,-114.501,"Pacífico"
15.82,-92.84,"Caribe"
16.1715,-98.2972,"Cocos"
31.3768,-114.498,"Pacífico"
16.0075,-93.7177,"Caribe"
18.4503,-103.717,"Rivera"
16.3203,-93.6217,"Caribe"
19.396,-102.26,"Rivera"
16.5105,-93.7393,"Caribe"
17.805,-95.7425,"Norteamérica"
27.4863,-111.495,"Norteamérica"
17.8712,-95.4528,"Norteamérica"
30.6563,-114.194,"Pacífico"
15.287,-94.3153,"Caribe"
15.3638,-94.7053,"Cocos"
14.9228,-96.2168,"Cocos"
14.8703,-93.2415,"Caribe"
30.2265,-114.273,"Pacífico"
18.908,-103.59,"Rivera"
31.5427,-115.579,"Pacífico"
19.2773,-105.074,"Rivera"
16.45,-98.49,"Cocos"
31.5118,-115.529,"Pacífico"
31.65,-115.94,"Pacífico"
14.04,-93.13,"Caribe"
16,-98.5,"Cocos"
17.47,-94.67,"Norteamérica"
14.9885,-92.0938,"Caribe"
27.0205,-112.25,"Pacífico"
16.2362,-97.8732,"Cocos"
17.48,-94.57,"Norteamérica"
18.1162,-103.316,"Rivera"
24.8937,-110.236,"Pacífico"
15.8522,-95.0838,"Cocos"
15.7117,-98.6018,"Cocos"
16.6015,-97.0715,"Cocos"
20.47,-102.36,"Rivera"
17.2787,-100.516,"Cocos"
15.2378,-94.7203,"Cocos"
17.0488,-100.642,"Cocos"
19.581,-96.1795,"Norteamérica"
31.755,-116.163,"Pacífico"
17.99,-98.03,"Norteamérica"
16.0638,-95.1517,"Cocos"
14.1412,-92.6042,"Caribe"
26.8,-108.44,"Norteamérica"
18.25,-103.63,"Rivera"
19.4843,-102.186,"Rivera"
15.65,-96.04,"Cocos"
18.5,-102.9,"Rivera"
18.9572,-104.979,"Rivera"
19.1827,-104.059,"Rivera"
18.1247,-98.5783,"Norteamérica"
16.2662,-95.939,"Cocos"
24.071,-110.195,"Pacífico"
18.1717,-103.33,"Rivera"
15.7193,-93.8858,"Caribe"
20.4073,-98.9823,"Norteamérica"
18.0697,-103.372,"Rivera"
16.57,-99.49,"Cocos"
